inchikey,key14,smiles_std,compound_name,bbb_class,logbb,b3db_threshold,b3db_uncertainty_classification,b3db_uncertainty_regression,b3db_reference_classification,b3db_reference_regression,source_id_classification,source_id_regression,coconut_id_exact_match,coconut_ids_key14_match,coconut_matches_key14
ACTOXUHEUCPTEW-VSAIXGTDSA-N,ACTOXUHEUCPTEW,CO[C@@H]1[C@@H](O[C@H]2O[C@@H](C)[C@@H](O[C@@H]3C[C@@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](N(C)C)[C@@H]2O)[C@H](CC=O)C[C@@H](C)[C@@H](O[C@@H]2CC[C@@H](N(C)C)[C@H](C)O2)/C=C/C=C/C[C@H](C)OC(=O)C[C@@H]1O,,BBB-,,,C,,R24|,,b3db_classification:6503,,,CNP0408996.1|CNP0408996.10|CNP0408996.11|CNP0408996.12|CNP0408996.2|CNP0408996.3|CNP0408996.4|CNP0408996.5|CNP0408996.6|CNP0408996.7|CNP0408996.8|CNP0408996.9,12
ACTRVOBWPAIOHC-UHFFFAOYSA-N,ACTRVOBWPAIOHC,O=C(O)C(S)C(S)C(=O)O,succimer,BBB-,,,C,,R14|,,b3db_classification:5392,,,CNP0437061.1,1
ACWBQPMHZXGDFX-UHFFFAOYSA-N,ACWBQPMHZXGDFX,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,l-valsartan,BBB-,,,C,,R14|R23|,,b3db_classification:5191,,,CNP0192971.1|CNP0542698.1,2
ADEBPBSSDYVVLD-FQEVSTJZSA-N,ADEBPBSSDYVVLD,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,(s)-donepezil,BBB+,,-1.0,B,,R13|,,b3db_classification:3412,,,CNP0170523.1|CNP0170523.2,2
ADEBPBSSDYVVLD-HXUWFJFHSA-N,ADEBPBSSDYVVLD,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,donepezil,BBB+,,,C,,R24|R27|R30|,,b3db_classification:6514,,,CNP0170523.1|CNP0170523.2,2
ADEBPBSSDYVVLD-UHFFFAOYSA-N,ADEBPBSSDYVVLD,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,donepezil,BBB+,0.89,,A,D,R18|R26|R27|R2|R2|R8|R27|R40|R21|R25|R27|R43|R46|R47|R4|,R18|R26|R27|R2|R2|R8|R27|R40|R21|R25|R27|R43|R46|R47|R4|,b3db_classification:954,b3db_regression:1043,,CNP0170523.1|CNP0170523.2,2
ADIMAYPTOBDMTL-HNNXBMFYSA-N,ADIMAYPTOBDMTL,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,s-oxazepam,BBB+,0.61,,A,A,R48|,R48|,b3db_classification:876,b3db_regression:201,CNP0437097.0,CNP0437097.0,1
ADIMAYPTOBDMTL-OAHLLOKOSA-N,ADIMAYPTOBDMTL,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O,oxazepam,BBB+,,,C,,R9|R24|R27|R27|R30|,,b3db_classification:5058,,CNP0437097.0,CNP0437097.0,1
ADIMAYPTOBDMTL-UHFFFAOYSA-N,ADIMAYPTOBDMTL,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,604-75-1,BBB+,0.6,,A,B,R3|R4|R40|R38|R41|R50|R21|R27|R8|R2|R2|R27|R3|R11|R12|R17|R20|R25|R35|R36|R42|R43|R44|R47|R49|R49|,R3|R4|R40|R38|R41|R50|R21|R27|R8|R2|R2|R27|R3|R11|R12|R17|R20|R25|R35|R36|R42|R43|R44|R47|R49|R49|,b3db_classification:861,b3db_regression:785,CNP0437097.0,CNP0437097.0,1
ADLJDTPEJOLPKY-PUIFZAHNSA-N,ADLJDTPEJOLPKY,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CN3C=CCC4=C3CCC4)CS[C@H]12)c1csc(N)n1,,BBB-,,,C,,R24|,,b3db_classification:6446,,,,0
ADRHYFBXMFKHDO-UHFFFAOYSA-N,ADRHYFBXMFKHDO,Cc1cc(-c2ccc(O)cc2)nnc1NCCN1CCOCC1,moxiraprine,BBB+,,-1.0,B,,R1|R13|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:2170,,,,0
AEJOEPSMZCEYJN-FQEVSTJZSA-N,AEJOEPSMZCEYJN,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1,chembl106345,BBB+,,-1.0,B,,R1|R28|R9|R24|R27|R30|,,b3db_classification:1715,,,,0
AEJOEPSMZCEYJN-HXUWFJFHSA-N,AEJOEPSMZCEYJN,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1,ici-199441,BBB+,,-1.0,B,,R13|,,b3db_classification:3148,,,,0
AEJOEPSMZCEYJN-UHFFFAOYSA-N,AEJOEPSMZCEYJN,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1,ici199441,BBB+,,-1.0,B,,R19|R27|R36|,,b3db_classification:4432,,,,0
AELCINSCMGFISI-DTWKUNHWSA-N,AELCINSCMGFISI,N[C@@H]1C[C@H]1c1ccccc1,48264-ep2275420a1,BBB+,,-1.0,B,,R1|R7|R26|R27|R29|R30|,,b3db_classification:2346,,CNP0337465.2|CNP0337465.3,CNP0337465.1|CNP0337465.2|CNP0337465.3,3
AELCINSCMGFISI-IUCAKERBSA-N,AELCINSCMGFISI,N[C@H]1C[C@H]1c1ccccc1,tranylcypromine,BBB+,,-1.0,B,,R13|R27|R30|,,b3db_classification:3701,,CNP0337465.2|CNP0337465.3,CNP0337465.1|CNP0337465.2|CNP0337465.3,3
AELCINSCMGFISI-RKDXNWHRSA-N,AELCINSCMGFISI,N[C@@H]1C[C@@H]1c1ccccc1,cis-2-phenylcyclopropylamine,BBB+,,,C,,R24|,,b3db_classification:6721,,CNP0337465.2|CNP0337465.3,CNP0337465.1|CNP0337465.2|CNP0337465.3,3
AELCINSCMGFISI-UHFFFAOYSA-N,AELCINSCMGFISI,NC1CC1c1ccccc1,tranylcypromine,BBB+,,-1.0,B,,R19|R6|R14|R23|R27|,,b3db_classification:4619,,CNP0337465.2|CNP0337465.3,CNP0337465.1|CNP0337465.2|CNP0337465.3,3
AEOOLRRTECSMIN-INIZCTEOSA-N,AEOOLRRTECSMIN,CN[C@H]1CCN2c3ccccc3CCc3cccc1c32,ciclopramine,BBB+,,-1.0,B,,R13|R24|R27|R30|,,b3db_classification:3294,,,,0
AEOOLRRTECSMIN-UHFFFAOYSA-N,AEOOLRRTECSMIN,CNC1CCN2c3ccccc3CCc3cccc1c32,ciclopramine,BBB+,,-1.0,B,,R1|R19|R6|R27|R27|R30|,,b3db_classification:1908,,,,0
AEQDJSLRWYMAQI-KRWDZBQOSA-N,AEQDJSLRWYMAQI,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,tetrahydropalmatine,BBB+,-0.07,,A,B,R2|R2|R25|R27|R46|,R2|R2|R25|R27|R46|,b3db_classification:496,b3db_regression:549,CNP0262237.1|CNP0262237.2,CNP0262237.1|CNP0262237.2,2
AEQDJSLRWYMAQI-QGZVFWFLSA-N,AEQDJSLRWYMAQI,COc1cc2c(cc1OC)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2,(+)-tetrahydropalmatine,BBB+,-0.07,,A,A,R20|,R20|,b3db_classification:497,b3db_regression:118,CNP0262237.1|CNP0262237.2,CNP0262237.1|CNP0262237.2,2
AERLHOTUXIJQFV-AIAJZDAFSA-N,AERLHOTUXIJQFV,O=C1[C@@H]2[C@H]3C=C[C@H]([C@@H]4C=C[C@@H]43)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,schembl17256233,BBB+,,,C,,R24|,,b3db_classification:6763,,CNP0259159.2,CNP0259159.2,1
AERLHOTUXIJQFV-LDZURRIXSA-N,AERLHOTUXIJQFV,O=C1C2[C@H]3C=C[C@@H]([C@H]4C=C[C@@H]43)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,,BBB+,,-1.0,B,,R13|,,b3db_classification:3737,,CNP0259159.2,CNP0259159.2,1
AERLHOTUXIJQFV-NXMWLWCLSA-N,AERLHOTUXIJQFV,O=C1[C@@H]2[C@H]3C=C[C@@H]([C@H]4C=C[C@H]43)[C@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,zalospirone,BBB+,,,C,,R27|R30|,,b3db_classification:7689,,CNP0259159.2,CNP0259159.2,1
AERLHOTUXIJQFV-RCPZPFRWSA-N,AERLHOTUXIJQFV,O=C1[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C=C[C@H]43)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,zalospirone,BBB+,,-1.0,B,,R1|R27|R30|,,b3db_classification:2493,,CNP0259159.2,CNP0259159.2,1
AERLHOTUXIJQFV-RFUSENCQSA-N,AERLHOTUXIJQFV,O=C1[C@@H]2[C@@H]3C=C[C@@H]([C@@H]4C=C[C@@H]43)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,schembl247562,BBB+,,,C,,R6|,,b3db_classification:5001,,CNP0259159.2,CNP0259159.2,1
AERLHOTUXIJQFV-UHFFFAOYSA-N,AERLHOTUXIJQFV,O=C1C2C3C=CC(C4C=CC43)C2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,zalospirone,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4648,,CNP0259159.2,CNP0259159.2,1
AETAHUARDZYWMT-UHFFFAOYSA-N,AETAHUARDZYWMT,CN(CCN(C)CNC(=O)C1=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC2C(N(C)C)C1=O)CNC(=O)C1=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC2C(N(C)C)C1=O,etamocycline,BBB-,,-1.0,B,,R19|R27|,,b3db_classification:4457,,,,0
AETAHUARDZYWMT-ULRSWZSCSA-N,AETAHUARDZYWMT,CN(CCN(C)CNC(=O)C1=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@H]2[C@H](N(C)C)C1=O)CNC(=O)C1=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@H]2[C@H](N(C)C)C1=O,etamocycline,BBB-,,-1.0,B,,R1|R6|R27|R30|,,b3db_classification:1794,,,,0
AEUTYOVWOVBAKS-AOOOYVTPSA-N,AEUTYOVWOVBAKS,CC[C@H](CO)NCCN[C@@H](CC)CO,meso-ethambutol,BBB+,,,C,,R27|,,b3db_classification:7191,,CNP0193986.2,CNP0193986.2,1
AEUTYOVWOVBAKS-NXEZZACHSA-N,AEUTYOVWOVBAKS,CC[C@H](CO)NCCN[C@H](CC)CO,unii-jv86y0civf,BBB-,,,C,,R9|R24|R27|,,b3db_classification:5023,,CNP0193986.2,CNP0193986.2,1
AEUTYOVWOVBAKS-UHFFFAOYSA-N,AEUTYOVWOVBAKS,CCC(CO)NCCNC(CC)CO,ritonavir,BBB-,,-1.0,B,,R19|R28|R23|R27|R36|,,b3db_classification:4348,,CNP0193986.2,CNP0193986.2,1
AEUTYOVWOVBAKS-UWVGGRQHSA-N,AEUTYOVWOVBAKS,CC[C@@H](CO)NCCN[C@@H](CC)CO,ethambutol,BBB-,,-1.0,B,,R1|R13|R27|R30|,,b3db_classification:1665,,CNP0193986.2,CNP0193986.2,1
AFABGHUZZDYHJO-UHFFFAOYSA-N,AFABGHUZZDYHJO,CCCC(C)C,2-methylpentane (isohexane),BBB+,1.0,,A,B,R3|R38|R11|R12|R17|R18|R22|R25|R26|R27|R32|R33|R35|R36|R39|R41|R44|R46|R47|R48|R49|R40|R2|R2|R27|R21|R27|R8|R5|,R3|R38|R11|R12|R17|R18|R22|R25|R26|R27|R32|R33|R35|R36|R39|R41|R44|R46|R47|R48|R49|R40|R2|R2|R27|R21|R27|R8|R5|,b3db_classification:990,b3db_regression:863,CNP0319065.0,CNP0319065.0,1
AFBYHZACPPSJKD-UHFFFAOYSA-N,AFBYHZACPPSJKD,CN(C)CCCN1c2ccccc2C=Cc2ccccc21,depramine,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1749,,,,0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,AFFLGGQVNFXPEV,C=CCCCCCCCC,1-decene,BBB+,0.96,,A,B,R2|R2|R8|R27|R40|R3|R21|R25|R27|R38|R41|R46|R47|,R2|R2|R8|R27|R40|R3|R21|R25|R27|R38|R41|R46|R47|,b3db_classification:978,b3db_regression:855,CNP0330037.0,CNP0330037.0,1
AFNXATANNDIXLG-UHFFFAOYSA-N,AFNXATANNDIXLG,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,sulconazole,BBB-,,,C,,R23|,,b3db_classification:5876,,,CNP0337084.1|CNP0337084.2|CNP0578783.1|CNP0578783.2,4
AFSOIHMEOKEZJF-UHFFFAOYSA-N,AFSOIHMEOKEZJF,O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,carmoxirol,BBB-,,-1.0,B,,R7|R29|,,b3db_classification:2618,,,,0
AFZFFLVORLEPPO-IAYONZFOSA-N,AFZFFLVORLEPPO,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C/c3scnc3C)CSC12)c1csc(N)n1,cefditoren pivoxil,BBB-,,,C,,R23|,,b3db_classification:5782,,,CNP0074539.1,1
AFZFFLVORLEPPO-UHFFFAOYSA-N,AFZFFLVORLEPPO,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,cefditoren pivoxil,BBB-,,,C,,R14|,,b3db_classification:5293,,,CNP0074539.1,1
AFZOCGNTFCGOEE-AZUAARDMSA-N,AFZOCGNTFCGOEE,CC[C@@]12CCN(CC3CC3)[C@@H](Cc3ccc(O)cc31)C2(C)C,gemazocine,BBB+,,,C,,R27|R30|,,b3db_classification:7211,,,,0
AFZOCGNTFCGOEE-LROBGIAVSA-N,AFZOCGNTFCGOEE,CCC12CCN(CC3CC3)[C@@H](Cc3ccc(O)cc31)C2(C)C,,BBB+,,-1.0,B,,R13|,,b3db_classification:2988,,,,0
AFZOCGNTFCGOEE-UHFFFAOYSA-N,AFZOCGNTFCGOEE,CCC12CCN(CC3CC3)C(Cc3ccc(O)cc31)C2(C)C,gemazocine,BBB+,,-1.0,B,,R1|R19|R6|R27|R27|R30|,,b3db_classification:1485,,,,0
AFZOCGNTFCGOEE-UYAOXDASSA-N,AFZOCGNTFCGOEE,CC[C@@]12CCN(CC3CC3)[C@H](Cc3ccc(O)cc31)C2(C)C,,BBB+,,,C,,R24|,,b3db_classification:6312,,,,0
AGAHNABIDCTLHW-UHFFFAOYSA-N,AGAHNABIDCTLHW,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,moperone,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:2184,,,,0
AGBTZJDOBMDLPR-UHFFFAOYSA-N,AGBTZJDOBMDLPR,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12,citatepine,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1835,,,,0
AGCFSBXXHKGFAI-UHFFFAOYSA-N,AGCFSBXXHKGFAI,CNC1=CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,chembl1372985,BBB+,,-1.0,B,,R13|,,b3db_classification:3273,,,,0
AGHANLSBXUWXTB-UHFFFAOYSA-N,AGHANLSBXUWXTB,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,ticrynafen,BBB-,,,C,,R14|,,b3db_classification:5400,,CNP0499230.0,CNP0499230.0,1
AGMMTXLNIQSRCG-UHFFFAOYSA-N,AGMMTXLNIQSRCG,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,quinethazone,BBB-,,,C,,R14|R23|,,b3db_classification:5183,,CNP0437307.0,CNP0437307.0,1
AGOYDEPGAOXOCK-KCBOHYOISA-N,AGOYDEPGAOXOCK,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,clarithromycin,BBB-,,-1.0,B,,R1|R15|R27|R30|R34|R50|,,b3db_classification:1687,,CNP0336714.1,CNP0336714.1|CNP0336714.2,2
AGOYDEPGAOXOCK-NJTRMLIJSA-N,AGOYDEPGAOXOCK,CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@H](O[C@H]2O[C@H](C)C[C@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@@]1(C)O,,BBB-,,,C,,R24|,,b3db_classification:6324,,CNP0336714.1,CNP0336714.1|CNP0336714.2,2
